,Salary,PLAYER,Score,Power Index
0,11500,Giannis Antetokounmpo,51.75,0.011861647340266472
2,11400,Anthony Davis,76.75,0.07379473037179786
4,9300,Victor Oladipo,22.5,0.0022593613981459946
6,9000,Kawhi Leonard,62.25,0.027112336777751937
8,8300,Jrue Holiday,49.0,0.025982656078678938
10,8200,Ben Simmons,34.5,0.011894873243180384
12,7800,Zach LaVine,29.75,0.009369704621723096
14,7400,Nikola Mirotic,30.5,0.010565837126623916
16,7300,Jimmy Butler,45.75,0.016878758680267135
18,7200,Donovan Mitchell,43.5,0.023357809748479914
20,7000,Derrick Rose,33.75,0.0147855267966907
22,6900,Khris Middleton,53.0,0.02422168322424162
24,6800,Eric Bledsoe,47.0,0.02996976442834834
26,6700,Julius Randle,37.75,0.036515267302388944
28,6700,Tim Hardaway Jr.,47.5,0.020301026680400038
30,6600,D'Angelo Russell,38.25,0.01953683091338007
32,6500,Josh Richardson,40.0,0.014054556932584642
34,6500,CJ McCollum,23.25,0.007708409476027511
36,6400,Al Horford,29.25,0.02206199953483736
38,6300,Domantas Sabonis,34.5,0.032827192078944745
40,6200,Buddy Hield,31.0,0.008572282951789216
42,6200,Serge Ibaka,31.0,0.02800943615642755
44,6100,Andrew Wiggins,41.75,0.016014885204505433
46,6100,Jayson Tatum,36.75,0.017476824932717547
48,5900,Joe Ingles,28.0,0.0075090540585440405
50,5800,Marcus Morris,19.25,0.005980662524504104
52,5700,Jabari Parker,35.0,0.0167790809715254
54,5700,Spencer Dinwiddie,49.0,0.03488719805960727
56,5500,JJ Redick,21.0,0.0048177559225171945
58,5400,Gordon Hayward,36.25,0.012958102136425557
60,5300,Robert Covington,27.75,0.01182842143735256
62,5200,Otto Porter Jr.,19.5,0.006645180582782337
64,5200,E'Twaun Moore,17.5,0.003920656543841579
66,5100,Justise Winslow,23.0,0.009303252815895271
68,5100,Nemanja Bjelica,22.5,0.008406153437219656
70,5000,Malcolm Brogdon,24.0,0.011263581087816062
72,4900,Bojan Bogdanovic,24.5,0.0073429245439744825
74,4900,Al-Farouq Aminu,20.5,0.008539057048875304
76,4800,Rodney McGruder,20.75,0.005282918563311958
78,4800,Kyle Anderson,19.25,0.008240023922650098
80,4700,Jae Crowder,16.5,0.007043891417749277
82,4600,Jaylen Brown,13.5,0.003056783068079875
84,4600,Noah Vonleh,16.0,0.010366481709140446
86,4500,Justin Holiday,38.25,0.01558294846662458
88,4500,Markieff Morris,10.5,0.003688075223444197
90,4500,Derrick Favors,24.5,0.02129780376781739
92,4400,Thaddeus Young,16.5,0.0057480812041067215
94,4400,Joe Harris,18.25,0.004585174602119812
96,4400,Evan Turner,10.25,0.002093231883576436
98,4300,Tyler Johnson,26.75,0.014253912350068114
100,4300,Jeff Green,9.25,0.002724524038940758
102,4300,Ed Davis,10.25,0.005814533009934545
104,4200,Bogdan Bogdanovic,19.5,0.006213243844901485
106,4100,Kelly Oubre Jr.,27.0,0.009037445592583978
108,4000,Tyreke Evans,44.0,0.020633285709539158
110,4000,DeMarre Carroll,21.5,0.008339701631391833
112,4000,Garrett Temple,30.75,0.010333255806226535
114,4000,Danny Green,22.75,0.007043891417749277
116,4000,Terry Rozier,8.75,0.0031564607768216103
118,3900,Ersan Ilyasova,3.75,0.002026780077748613
120,3900,Kelly Olynyk,10.0,0.005980662524504104
122,3900,Marcus Smart,10.75,0.003389042097218992
124,3900,Fred VanVleet,5.75,0.0015283915340399375
126,3800,Wayne Ellington,17.25,0.00471807821377546
128,3800,Iman Shumpert,21.25,0.0064125992623849555
130,3800,Markelle Fultz,12.25,0.005050337242914576
132,3700,Allen Crabbe,9.0,0.0016612951456955842
134,3700,Wilson Chandler,7.25,0.0021596836894042597
136,3600,Pat Connaughton,18.75,0.004252915572980695
138,3500,Shabazz Napier,16.5,0.006312921553643221
140,3500,Wesley Johnson,9.75,0.0034554939030468153
142,3500,Mike Muscala,19.0,0.015217463534571552
144,3400,Austin Rivers,3.75,0.0010632288932451738
146,3300,Jared Dudley,10.25,0.003688075223444197
148,3300,Darius Miller,20.5,0.008007442602252716
150,3300,Dante Exum,14.5,0.005482273980795428
152,3200,Cameron Payne,4.0,0.001362262019470379
154,3200,Gorgui Dieng,13.25,0.009602285942120477
156,3200,Delon Wright,19.0,0.00827324982556401
158,3200,Trey Burke,30.75,0.01751005083563146
160,3200,Ian Clark,9.75,0.003389042097218992
162,3100,Doug McDermott,4.0,0.0011296806990729973
164,3100,Omri Casspi,9.0,0.0023922650098016415
166,3100,Amir Johnson,22.25,0.018241020699737515
168,3000,Matthew Dellavedova,2.75,0.000730969864106057
170,3000,Thon Maker,17.75,0.013755523806359438
172,3000,Tony Snell,17.0,0.004186463767152872
174,3000,Tomas Satoransky,8.75,0.00295710535933814
176,3000,James Nunnally,0.0,0.0
178,3000,Nik Stauskas,11.0,0.002724524038940758
180,3000,Thabo Sefolosha,10.5,0.003488719805960727
