,Index,Player,Pos,,,,,,,,
123,0.233983287,Aaron Gordon,SF,,,,,,Player,Pos,Index
217,0.260465116,Aaron Gordon,PF,,,,,,Aaron Gordon,SF,0.233983287
236,0.230069556,Al Horford,C,,,,,,,PF,0.260465116
196,0.181912682,Al Horford,PF,,,,,,Dante Cunningham,SF,0.101522843
194,0.20104712,Al-Farouq Aminu,PF,,,,,,,PF,0.096398305
135,0.190288714,Al-Farouq Aminu,SF,,,,,,Giannis Antetokounmpo,PF,0.355685131
178,0.0325,Alex Abrines,SF,,,,,,,SF,0.264347826
112,0.04281768,Alex Abrines,SG,,,,,,Kyle Kuzma,PF,0.080808081
99,0.106683805,Allen Crabbe,SG,,,,,,,SF,0.069518717
162,0.065395095,Allen Crabbe,SF,,,,,,LeBron James,SF,0.814258912
235,0.077607514,Amir Johnson,C,,,,,,,PF,0.876678877
227,0.059912854,Amir Johnson,PF,,,,,,Paul George,SF,0.494470774
48,0.389570552,Andrew Wiggins,SG,,,,,,,PF,0.544047619
117,0.380392157,Andrew Wiggins,SF,,,,,,Robert Covington,SF,0.182781457
238,0.583645911,Anthony Davis,C,,,,,,,PF,0.220338983
191,0.533965245,Anthony Davis,PF,,,,,,T.J. Warren,SF,0.274348422
64,0.174855491,Austin Rivers,SG,,,,,,,PF,0.336448598
19,0.165276725,Austin Rivers,PG,,,,,,,,
39,0.097115385,Ben Simmons,PG,,,,,,,,
170,0.078751857,Ben Simmons,SF,,,,,,,,
192,0.583434836,Blake Griffin,PF,,,,,,,,
232,0.649392194,Blake Griffin,C,,,,,,,,
104,0.073913043,Brad Wanamaker,SG,,,,,,,,
11,0.079968944,Brad Wanamaker,PG,,,,,,,,
172,0.144316731,Brandon Ingram,SF,,,,,,,,
33,0.212172443,Brandon Ingram,PG,,,,,,,,
38,0.133278823,Bryn Forbes,PG,,,,,,,,
97,0.141984733,Bryn Forbes,SG,,,,,,,,
74,0.234662577,CJ McCollum,SG,,,,,,,,
17,0.24845815,CJ McCollum,PG,,,,,,,,
95,0.071428571,Cameron Payne,SG,,,,,,,,
27,0.070769231,Cameron Payne,PG,,,,,,,,
257,0.055865922,Channing Frye,C,,,,,,,,
229,0.029880478,Channing Frye,PF,,,,,,,,
4,0.152497809,D'Angelo Russell,PG,,,,,,,,
84,0.130970724,D'Angelo Russell,SG,,,,,,,,
248,0.074314214,Daniel Theis,C,,,,,,,,
197,0.065589354,Daniel Theis,PF,,,,,,,,
138,0.079385403,Danny Green,SF,,,,,,,,
82,0.074438202,Danny Green,SG,,,,,,,,
157,0.101522843,Dante Cunningham,SF,,,,,,,,
210,0.096398305,Dante Cunningham,PF,,,,,,,,
89,0.082058414,Dante Exum,SG,,,,,,,,
32,0.078633836,Dante Exum,PG,,,,,,,,
223,0.046986721,Darius Miller,PF,,,,,,,,
161,0.060333761,Darius Miller,SF,,,,,,,,
128,0.171894605,David Nwaba,SF,,,,,,,,
45,0.208994709,David Nwaba,SG,,,,,,,,
218,0.05108055,Davis Bertans,PF,,,,,,,,
252,0.081601622,Davis Bertans,C,,,,,,,,
100,0.165735568,DeMar DeRozan,SG,,,,,,,,
156,0.138888889,DeMar DeRozan,SF,,,,,,,,
149,0.108695652,DeMarre Carroll,SF,,,,,,,,
205,0.104,DeMarre Carroll,PF,,,,,,,,
25,0.086607859,Delon Wright,PG,,,,,,,,
103,0.070809249,Delon Wright,SG,,,,,,,,
50,0.327380952,Dennis Schroder,SG,,,,,,,,
1,0.344394619,Dennis Schroder,PG,,,,,,,,
209,0.107403545,Derrick Favors,PF,,,,,,,,
250,0.13877551,Derrick Favors,C,,,,,,,,
42,0.278026906,Devin Booker,SG,,,,,,,,
15,0.277052239,Devin Booker,PG,,,,,,,,
31,0.074752098,Devin Harris,PG,,,,,,,,
83,0.070229008,Devin Harris,SG,,,,,,,,
106,0.073208723,Donovan Mitchell,SG,,,,,,,,
40,0.120141343,Donovan Mitchell,PG,,,,,,,,
185,0.187751004,Dwight Powell,PF,,,,,,,,
233,0.249760307,Dwight Powell,C,,,,,,,,
46,0.343178622,E'Twaun Moore,SG,,,,,,,,
118,0.34025974,E'Twaun Moore,SF,,,,,,,,
184,0.148029819,Ed Davis,PF,,,,,,,,
239,0.177882107,Ed Davis,C,,,,,,,,
62,0.290414878,Eric Bledsoe,SG,,,,,,,,
14,0.274624374,Eric Bledsoe,PG,,,,,,,,
241,0.097683787,Ersan Ilyasova,C,,,,,,,,
222,0.062302006,Ersan Ilyasova,PF,,,,,,,,
177,0.056179775,Evan Fournier,SF,,,,,,,,
92,0.081944444,Evan Fournier,SG,,,,,,,,
49,0.186246418,Evan Turner,SG,,,,,,,,
114,0.152849741,Evan Turner,SF,,,,,,,,
