,Index,Player,Pos
33,0.07551020408163266,Andre Iguodala,SF
22,0.08442211055276382,Andre Iguodala,SG
6,0.14421072579116923,Bryn Forbes,PG
14,0.1540084388185654,Bryn Forbes,SG
32,0.17173524150268335,Danilo Gallinari,SF
47,0.1690909090909091,Danilo Gallinari,PF
52,0.09897260273972602,Dante Cunningham,PF
34,0.10201342281879194,Dante Cunningham,SF
54,0.03668091168091168,Davis Bertans,PF
65,0.024634586960091968,Davis Bertans,C
9,0.4739737621667372,DeMar DeRozan,SG
30,0.4995711835334477,DeMar DeRozan,SF
63,0.040017119623368284,Draymond Green,C
55,0.04568744662681469,Draymond Green,PF
12,0.14310891787099048,Eric Gordon,SG
5,0.12795759984857089,Eric Gordon,PG
39,0.031978680879413725,Gerald Green,SF
23,0.03543307086614173,Gerald Green,SG
11,0.1795965865011637,Jamal Murray,SG
4,0.1718185467683661,Jamal Murray,PG
13,0.20581583198707593,James Ennis III,SG
28,0.21331566743954952,James Ennis III,SF
18,0.21458551941238196,James Harden,SG
7,0.17370325693606756,James Harden,PG
10,0.2045929018789144,Jeremy Lin,SG
0,0.18454528194418074,Jeremy Lin,PG
50,0.08316361167684996,Jonas Jerebko,PF
36,0.08383838383838384,Jonas Jerebko,SF
25,0.31630252100840334,Juancho Hernangomez,SF
42,0.33252762430939226,Juancho Hernangomez,PF
20,0.09152773052058523,Kent Bazemore,SG
35,0.08856624319419237,Kent Bazemore,SF
53,0.10123734533183353,Kevin Durant,PF
38,0.08748551564310544,Kevin Durant,SF
61,0.14028657114295234,Kevon Looney,C
49,0.12869121399927086,Kevon Looney,PF
58,0.2712690355329949,LaMarcus Aldridge,C
48,0.22999080036798528,LaMarcus Aldridge,PF
3,0.1672824302134647,Lou Williams,PG
15,0.17491626349088202,Lou Williams,SG
19,0.10815307820299501,Marco Belinelli,SG
31,0.10919920582395765,Marco Belinelli,SF
57,0.034892086330935254,Marquese Chriss,PF
64,0.024136775058665773,Marquese Chriss,C
51,0.07882136279926336,Mason Plumlee,PF
62,0.07172232275045237,Mason Plumlee,C
56,0.059736753290583866,Mike Scott,PF
37,0.04792013311148086,Mike Scott,SF
44,0.18828125,Montrezl Harrell,PF
60,0.1958154506437768,Montrezl Harrell,C
17,0.17545710267229256,Patrick Beverley,SG
2,0.16277746158224246,Patrick Beverley,PG
1,0.16541494555013142,Patty Mills,PG
16,0.1622007859949982,Patty Mills,SG
41,0.3762019230769231,Paul Millsap,PF
59,0.4560931899641577,Paul Millsap,C
45,0.19227886056971513,Rudy Gay,PF
29,0.17541337167505391,Rudy Gay,SF
43,0.23865006026516675,Tobias Harris,PF
26,0.24265547500953835,Tobias Harris,SF
40,0.028861921941620204,Torrey Craig,SF
24,0.030872056015276893,Torrey Craig,SG
27,0.18854415274463007,Trey Lyles,SF
46,0.17859624739402363,Trey Lyles,PF
21,0.06756756756756757,Tyrone Wallace,SG
8,0.06400602409638555,Tyrone Wallace,PG
