,PG,SG,SF,PF,C,Price,Score,Win
13385,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29700,188.75,1.0
41343,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29700,188.75,1.0
43133,James Harden,Jeremy Lamb,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27200,185.25,1.0
6183,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,27600,184.0,1.0
15591,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27900,181.5,1.0
23896,Jordan Clarkson,James Harden,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27900,181.5,1.0
27674,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,30400,180.5,1.0
9893,James Harden,Jordan Clarkson,James Ennis III,Jonas Jerebko,Larry Nance Jr.,28300,180.25,1.0
45334,Jamal Murray,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,30600,179.25,1.0
26772,James Harden,Jamal Murray,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,30600,179.25,1.0
46271,James Harden,Kent Bazemore,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29900,179.0,1.0
2066,James Harden,Jeremy Lamb,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,29900,179.0,1.0
23344,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevon Looney,28300,179.0,1.0
11581,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Paul Millsap,30100,178.75,1.0
25058,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Paul Millsap,30100,178.75,1.0
16238,James Harden,Jeremy Lamb,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,28200,177.5,1.0
22767,James Harden,Jeremy Lamb,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,28200,177.5,1.0
2825,James Harden,Jeremy Lamb,Rodney Hood,Jonas Jerebko,Larry Nance Jr.,29400,177.0,1.0
711,James Harden,Rodney Hood,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29400,177.0,1.0
33763,James Harden,David Nwaba,James Ennis III,Jonas Jerebko,Larry Nance Jr.,25800,176.75,1.0
4363,James Harden,Andre Iguodala,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,27800,176.75,1.0
25376,James Harden,Jeremy Lin,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,27800,176.75,1.0
29941,James Harden,James Ennis III,David Nwaba,Jonas Jerebko,Larry Nance Jr.,25800,176.75,1.0
47580,James Harden,David Nwaba,Jonas Jerebko,Kevin Durant,Channing Frye,31200,176.75,1.0
24700,James Harden,David Nwaba,Kevin Durant,Jonas Jerebko,Channing Frye,31200,176.75,1.0
17089,James Harden,Jeremy Lamb,Jonas Jerebko,Juancho Hernangomez,Larry Nance Jr.,27800,176.25,1.0
35569,James Harden,Jeremy Lamb,Nicolas Batum,Jonas Jerebko,Larry Nance Jr.,29800,176.25,1.0
9202,James Harden,Jeremy Lamb,Juancho Hernangomez,Jonas Jerebko,Larry Nance Jr.,27800,176.25,1.0
20782,James Harden,Nicolas Batum,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29800,176.25,1.0
14681,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,28100,175.75,1.0
6927,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,28100,175.75,1.0
