,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,SF,11649680,11200,LeBron James,LAL,33,1,0,1,25.9,22,8,19,42.1,3,6,50.0,3,4,75.0,0,4,4,7,3,0,1,0,37.3,0,0,-11
1,PF,11649680,11200,LeBron James,LAL,33,1,0,1,25.9,22,8,19,42.1,3,6,50.0,3,4,75.0,0,4,4,7,3,0,1,0,37.3,0,0,-11
2,PF,11649684,11100,Anthony Davis,NOP,25,1,1,0,37.7,40,10,20,50.0,0,1,0.0,20,21,95.2,4,4,8,8,0,0,1,4,64.6,0,0,11
3,C,11649684,11100,Anthony Davis,NOP,25,1,1,0,37.7,40,10,20,50.0,0,1,0.0,20,21,95.2,4,4,8,8,0,0,1,4,64.6,0,0,11
4,PG,11649688,11000,James Harden,HOU,29,1,1,0,34.3,34,10,17,58.8,4,10,40.0,10,10,100.0,0,4,4,8,6,3,0,3,53.8,0,0,1
5,SG,11649688,11000,James Harden,HOU,29,1,1,0,34.3,34,10,17,58.8,4,10,40.0,10,10,100.0,0,4,4,8,6,3,0,3,53.8,0,0,1
6,SF,11649694,10600,Kevin Durant,GSW,30,1,0,1,36.7,32,11,24,45.8,0,4,0.0,10,11,90.9,0,4,4,3,4,0,1,4,40.3,0,0,-13
7,PF,11649694,10600,Kevin Durant,GSW,30,1,0,1,36.7,32,11,24,45.8,0,4,0.0,10,11,90.9,0,4,4,3,4,0,1,4,40.3,0,0,-13
8,SF,11649701,9900,Paul George,OKC,28,1,1,0,40.0,32,9,22,40.9,3,10,30.0,11,11,100.0,1,10,11,2,5,3,3,2,61.2,1,0,12
9,PF,11649701,9900,Paul George,OKC,28,1,1,0,40.0,32,9,22,40.9,3,10,30.0,11,11,100.0,1,10,11,2,5,3,3,2,61.2,1,0,12
10,PG,11649705,9600,Victor Oladipo,IND,26,1,1,0,4.6,2,0,1,0.0,0,0,0.0,2,2,100.0,0,2,2,1,1,0,0,0,4.9,0,0,2
11,SG,11649705,9600,Victor Oladipo,IND,26,1,1,0,4.6,2,0,1,0.0,0,0,0.0,2,2,100.0,0,2,2,1,1,0,0,0,4.9,0,0,2
12,PG,11649723,8500,Ben Simmons,PHI,22,1,1,0,39.2,23,7,13,53.8,0,0,0.0,9,11,81.8,1,10,11,9,4,2,0,2,51.7,1,0,1
13,SF,11649723,8500,Ben Simmons,PHI,22,1,1,0,39.2,23,7,13,53.8,0,0,0.0,9,11,81.8,1,10,11,9,4,2,0,2,51.7,1,0,1
14,PG,11649733,8100,Jrue Holiday,NOP,28,1,1,0,31.5,19,8,19,42.1,2,5,40.0,1,1,100.0,1,2,3,8,2,3,1,4,44.6,0,0,-1
15,SG,11649733,8100,Jrue Holiday,NOP,28,1,1,0,31.5,19,8,19,42.1,2,5,40.0,1,1,100.0,1,2,3,8,2,3,1,4,44.6,0,0,-1
16,PG,11649737,8000,Devin Booker,PHX,22,1,0,1,39.2,16,5,16,31.3,3,8,37.5,3,4,75.0,0,4,4,12,1,0,0,5,37.8,1,0,-10
17,SG,11649737,8000,Devin Booker,PHX,22,1,0,1,39.2,16,5,16,31.3,3,8,37.5,3,4,75.0,0,4,4,12,1,0,0,5,37.8,1,0,-10
18,PG,11649741,7900,Dennis Schroder,OKC,25,1,1,0,36.0,15,6,15,40.0,1,3,33.3,2,2,100.0,1,4,5,7,5,4,0,2,38.5,0,0,9
19,SG,11649741,7900,Dennis Schroder,OKC,25,1,1,0,36.0,15,6,15,40.0,1,3,33.3,2,2,100.0,1,4,5,7,5,4,0,2,38.5,0,0,9
20,SF,11649748,7700,Aaron Gordon,ORL,23,1,1,0,29.4,12,5,13,38.5,1,2,50.0,1,2,50.0,3,3,6,3,1,2,0,1,28.7,0,0,11
21,PF,11649748,7700,Aaron Gordon,ORL,23,1,1,0,29.4,12,5,13,38.5,1,2,50.0,1,2,50.0,3,3,6,3,1,2,0,1,28.7,0,0,11
22,SG,11649759,7500,Jimmy Butler,PHI,29,1,1,0,37.2,15,4,11,36.4,1,3,33.3,6,7,85.7,1,2,3,4,4,2,2,4,32.6,0,0,3
