Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11587281),Anthony Davis,11587281,PF/C/F/UTIL,11500,CHI@NO 11/07/2018 08:00PM ET,NO,54.18
C,Joel Embiid (11587285),Joel Embiid,11587285,C/UTIL,11400,PHI@IND 11/07/2018 08:00PM ET,PHI,54.84
PG,Russell Westbrook (11587287),Russell Westbrook,11587287,PG/G/UTIL,11200,OKC@CLE 11/07/2018 07:00PM ET,OKC,51.29
SF/PF,LeBron James (11587290),LeBron James,11587290,SF/PF/F/UTIL,11000,MIN@LAL 11/07/2018 10:30PM ET,LAL,53
PF/C,Blake Griffin (11587294),Blake Griffin,11587294,PF/C/F/UTIL,9900,DET@ORL 11/07/2018 07:00PM ET,DET,52.33
PG/SF,Ben Simmons (11587298),Ben Simmons,11587298,PG/SF/F/G/UTIL,9600,PHI@IND 11/07/2018 08:00PM ET,PHI,41.22
SG/SF,Kawhi Leonard (11587303),Kawhi Leonard,11587303,SG/SF/F/G/UTIL,9400,TOR@SAC 11/07/2018 10:00PM ET,TOR,46.46
SG/SF,DeMar DeRozan (11587308),DeMar DeRozan,11587308,SG/SF/F/G/UTIL,9200,SA@MIA 11/07/2018 07:30PM ET,SA,46.56
SF/PF,Paul George (11587313),Paul George,11587313,SF/PF/F/UTIL,9100,OKC@CLE 11/07/2018 07:00PM ET,OKC,44.5
C,Andre Drummond (11587319),Andre Drummond,11587319,C/UTIL,9000,DET@ORL 11/07/2018 07:00PM ET,DET,44.81
C,Nikola Jokic (11587317),Nikola Jokic,11587317,C/UTIL,8900,DEN@MEM 11/07/2018 08:00PM ET,DEN,45.75
PG,Kyle Lowry (11587321),Kyle Lowry,11587321,PG/G/UTIL,8900,TOR@SAC 11/07/2018 10:00PM ET,TOR,46.09
C,Karl-Anthony Towns (11587324),Karl-Anthony Towns,11587324,C/UTIL,8800,MIN@LAL 11/07/2018 10:30PM ET,MIN,41.66
PG/SG,Victor Oladipo (11587326),Victor Oladipo,11587326,PG/SG/G/UTIL,8700,PHI@IND 11/07/2018 08:00PM ET,IND,42.20
PG/SG,Jrue Holiday (11587330),Jrue Holiday,11587330,PG/SG/G/UTIL,8600,CHI@NO 11/07/2018 08:00PM ET,NO,40.3
PG/SG,Zach LaVine (11587334),Zach LaVine,11587334,PG/SG/G/UTIL,8500,CHI@NO 11/07/2018 08:00PM ET,CHI,42.52
C,Nikola Vucevic (11587338),Nikola Vucevic,11587338,C/UTIL,8400,DET@ORL 11/07/2018 07:00PM ET,ORL,42.22
SF/PF,Nikola Mirotic (11587340),Nikola Mirotic,11587340,SF/PF/F/UTIL,8300,CHI@NO 11/07/2018 08:00PM ET,NO,42.55
SG/SF,Jimmy Butler (11587344),Jimmy Butler,11587344,SG/SF/F/G/UTIL,8200,MIN@LAL 11/07/2018 10:30PM ET,MIN,40.78
PF/C,Kevin Love (11587349),Kevin Love,11587349,PF/C/F/UTIL,8100,OKC@CLE 11/07/2018 07:00PM ET,CLE,42.88
