PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Zach LaVine,CHI,23,1,0,1,33.8,15,6,20,30,1,5,20,2,3,66.7,1,4,5,4,4,1,1,1,29,0,0,-19,
Zach Collins,POR,20,1,0,1,23.5,5,2,5,40,1,2,50,0,0,0,1,7,8,0,1,0,0,2,13.6,0,0,-1,
Wilson Chandler,PHI,31,1,1,0,21.6,2,1,3,33.3,0,1,0,0,0,0,1,4,5,0,2,0,0,3,6,0,0,18,
Willie Cauley-Stein,SAC,25,1,0,1,34.8,11,5,9,55.6,0,0,0,1,3,33.3,4,4,8,2,2,3,0,5,30.6,0,0,-1,
Wesley Johnson,NOP,31,1,1,0,12.1,5,2,4,50,1,3,33.3,0,0,0,0,1,1,0,2,1,1,3,10.2,0,0,-8,
Wendell Carter Jr.,CHI,19,1,0,1,24.6,12,6,8,75,0,0,0,0,0,0,0,4,4,4,1,1,1,3,27.8,0,0,-21,
Wayne Selden,MEM,24,1,1,0,29.7,10,5,12,41.7,0,2,0,0,0,0,0,0,0,2,0,0,1,1,16,0,0,1,
Wayne Ellington,MIA,30,1,0,1,17.6,9,3,10,30,3,9,33.3,0,0,0,0,1,1,1,0,2,0,1,17.7,0,0,-21,
Wade Baldwin IV,POR,22,1,0,1,5.7,2,1,2,50,0,1,0,0,0,0,1,0,1,1,0,0,0,0,4.7,0,0,8,
Victor Oladipo,IND,26,1,1,0,29.5,8,3,12,25,2,5,40,0,0,0,0,4,4,5,2,0,1,0,21.3,0,0,-13,
Tyus Jones,MIN,22,1,1,0,11,4,2,2,100,0,0,0,0,0,0,0,1,1,2,0,1,0,0,11.2,0,0,0,
Tyreke Evans,IND,29,1,1,0,25.4,23,6,13,46.2,5,7,71.4,6,6,100,1,9,10,2,1,0,1,1,40,1,0,21,
Tyler Johnson,MIA,26,1,0,1,29.7,10,3,11,27.3,2,4,50,2,2,100,1,4,5,4,1,1,1,4,27,0,0,-23,
Troy Williams,SAC,23,1,0,1,18.7,8,3,8,37.5,2,6,33.3,0,0,0,1,7,8,0,1,0,1,0,19.6,0,0,2,
Troy Brown Jr.,WAS,19,1,0,1,1.3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,0,
Trey Burke,NYK,26,1,0,1,25.8,24,10,13,76.9,1,2,50,3,5,60,0,1,1,1,1,1,1,3,31.7,0,0,-8,
Tony Snell,MIL,27,1,1,0,17,11,5,7,71.4,1,3,33.3,0,0,0,0,2,2,0,2,2,0,1,17.4,0,0,11,
Tomas Satoransky,WAS,27,1,0,1,12,4,2,3,66.7,0,0,0,0,0,0,0,1,1,1,0,0,1,2,9.7,0,0,-2,
Tim Hardaway Jr.,NYK,26,1,0,1,38.1,30,9,23,39.1,4,12,33.3,8,10,80,2,6,8,2,3,2,0,2,45.6,0,0,-5,
Thon Maker,MIL,21,1,1,0,17.9,9,3,10,30,3,7,42.9,0,0,0,1,2,3,1,0,0,1,3,17.1,0,0,3,
Thaddeus Young,IND,30,1,1,0,26.4,6,3,7,42.9,0,1,0,0,0,0,2,4,6,0,2,1,1,2,17.2,0,0,12,
Thabo Sefolosha,UTA,34,1,0,1,10.9,2,1,1,100,0,0,0,0,0,0,0,6,6,1,1,0,0,0,9.7,0,0,6,
Terry Rozier,BOS,24,1,1,0,19.8,4,2,6,33.3,0,1,0,0,0,0,0,3,3,1,1,0,0,0,8.1,0,0,-4,
Taj Gibson,MIN,33,1,1,0,21,12,6,10,60,0,0,0,0,0,0,3,1,4,5,0,0,0,2,24.3,0,0,10,
Sterling Brown,MIL,23,1,1,0,10.2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,-5,
Spencer Dinwiddie,BKN,25,1,1,0,31.3,25,8,13,61.5,3,5,60,6,9,66.7,2,2,4,8,1,3,0,4,49.8,0,0,7,
Shelvin Mack,MEM,28,1,1,0,27.2,9,3,8,37.5,2,5,40,1,1,100,0,2,2,8,3,2,0,2,26.4,0,0,14,
Shaquille Harrison,CHI,25,1,0,1,18.8,5,2,5,40,0,0,0,1,2,50,1,6,7,1,0,0,0,0,14.9,0,0,-5,
